speciality,skills,job_count,pay_range,competition,payment_status,duration,client_spent
Knowledge Representation,"['Neo4j', 'Java', 'Python', 'Graph Database', 'Natural Language Processing']",433,"([0.0, 15.0, 0.0, 20.0, 0.0, 0.0, 5.0, 0.0, 10.0, 15.0, 0.0, 20.0, 5.0, 5.0, 0.0, 0.0, 0.0, 5.0, 10.0, 0.0, 10.0, 35.0, 25.0, 30.0, 0.0, 0.0, 0.0, 15.0, 10.0, 10.0, 0.0, 5.0, 0.0, 50.0, 25.0, 0.0, 10.0, 20.0, 30.0, 0.0, 10.0, 50.0, 0.0, 25.0, 5.0, 25.0, 30.0, 30.0, 7.0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 10.0, 15.0, 20.0, 30.0, 14.0, 0.0, 6.0, 30.0, 15.0, 20.0, 0.0, 10.0, 0.0, 0.0, 25.0, 15.0, 0.0, 20.0, 15.0, 0.0, 15.0, 15.0, 0.0, 0.0, 30.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 3.0, 0.0, 0.0, 15.0, 0.0, 40.0, 20.0, 10.0, 20.0, 15.0, 10.0, 0.0, 50.0, 0.0, 15.0, 15.0, 0.0, 8.0, 15.0, 0.0, 0.0, 25.0, 15.0, 3.0, 10.0, 20.0, 5.0, 0.0, 20.0, 15.0, 35.0, 30.0, 0.0, 0.0, 25.0, 30.0, 0.0, 40.0, 70.0, 0.0, 30.0, 0.0, 0.0, 30.0, 12.0, 0.0, 0.0, 5.0, 20.0, 0.0, 15.0, 0.0, 15.0, 15.0, 20.0, 10.0, 5.0, 5.0, 15.0, 10.0, 12.0, 0.0, 18.0, 15.0, 0.0, 25.0, 0.0, 10.0, 15.0, 15.0, 0.0, 0.0, 20.0, 25.0, 15.0, 15.0, 15.0, 30.0, 0.0, 0.0, 5.0, 0.0, 15.0, 0.0, 22.0, 18.0, 0.0, 25.0, 25.0, 15.0, 0.0, 0.0, 0.0, 0.0, 21.0, 60.0, 0.0, 20.0, 15.0, 5.0, 20.0, 0.0, 4.0, 0.0, 0.0, 27.0, 3.0, 30.0, 20.0, 0.0, 0.0, 3.0, 0.0, 0.0, 15.0, 0.0, 10.0, 15.0, 15.0, 0.0, 0.0, 0.0, 0.0, 22.0, 8.0, 25.0, 8.0, 30.0, 20.0, 40.0, 10.0, 8.0, 15.0, 20.0, 20.0, 25.0, 10.0, 0.0, 5.0, 15.0, 15.0, 0.0, 0.0, 15.0, 40.0, 0.0, 9.0, 0.0, 20.0, 0.0, 10.0, 15.0, 0.0, 0.0, 15.0, 0.0, 17.0, 5.0, 0.0, 30.0, 40.0, 0.0, 0.0, 25.0, 0.0, 20.0, 15.0, 25.0, 0.0, 12.0, 15.0, 30.0, 5.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 20.0, 15.0, 0.0, 0.0, 50.0, 10.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 20.0, 100.0, 22.0, 19.0, 0.0, 15.0, 15.0, 0.0, 0.0, 7.0, 0.0, 0.0, 15.0, 0.0, 5.0, 5.0, 15.0, 30.0, 0.0, 0.0, 25.0, 30.0, 18.0, 0.0, 10.0, 0.0, 15.0, 0.0, 0.0, 20.0, 19.0], [45.0, 25.0])",4671,1.0,14,35687546.25999999
Machine Learning,"['Bayesian Statistics', 'Hyperparameter Tuning', 'K-Means Clustering', 'OpenAI Embeddings', 'Support Vector Machine', 'Transformer Model', 'Vector Embedding', 'Computer Vision', 'Deep Learning', 'Feature Extraction', 'Image Processing', 'Image Recognition', 'Natural Language Generation', 'Natural Language Processing', 'Reinforcement Learning', 'Unsupervised Learning', 'Scrapy', 'Apache Spark', 'pandas', 'PyTorch', 'TensorFlow', 'AI Builder', 'Amazon SageMaker', 'ArcGIS', 'Databricks Platform', 'deeplearn.js', 'Flask', 'Keras', 'Looker Studio', 'MATLAB', 'Matplotlib', 'NumPy', 'OpenCV', 'Python Scikit-Learn', 'Streamlit', 'Tableau', 'Vertex AI', 'XGBoost', 'AI Agent Development', 'AI App Development', 'AI Bot', 'AI Development', 'AI Model Development', 'AI Model Integration', 'AI Model Training', 'AI Product Management', 'AI Trading', 'AIOps', 'Chatbot', 'Data Augmentation', 'Data Preprocessing', 'Data Science', 'Data Science Consultation', 'Image Analysis', 'Machine Learning', 'Machine Learning Algorithm', 'Machine Learning Model', 'ML Automation', 'MLOps', 'Model Deployment', 'Model Monitoring', 'Model Tuning', 'Object Detection', 'Predictive Model', 'Time Series Analysis', 'Time Series Forecasting', 'Java', 'SQL', 'Python', 'C++', 'R']",924,"([0.0], [150.0])",9936,1.0,14,76844825.88999999
Database Administration,"['Database Design', 'Data Migration', 'Database Administration', 'Database Optimization', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Claris FileMaker', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'SAP HANA', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'SQL', 'ETL', 'Microsoft Windows PowerShell', 'SQL Server Integration Services', 'Transact-SQL']",366,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0, 25.0])",3500,1.0,23,29857841.88
Business Applications Development,"['Business Applications Consultation', 'Business Applications Development', 'Software Integration', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Java', 'JavaScript', '.NET Framework', 'jQuery', 'PHP', 'SQL', 'Python', 'C#', 'CSS', 'HTML5', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'HR & Business Services', 'Legal', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Sales & Marketing', 'Science & Medicine', 'Transportation & Warehousing', 'Pardot', 'Salesforce Marketing Cloud', 'Salesforce Einstein', 'Salesforce Sales Cloud', 'Visualforce', 'Automated Workflow', 'CRM Development', 'Custom App', 'Customer Portal', 'Dashboard', 'Demand Planning', 'HubSpot', 'Marketo', 'Pardot', 'Salesforce CRM', 'CRM Software', 'ERP Software', 'Marketing Automation Software', 'Microsoft Dynamics 365', 'Microsoft SharePoint', 'Office 365', 'Oracle NetSuite', 'SAP ERP', 'ServiceNow', 'Zoho Platform']",2481,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0, 25.0])",23783,1.0,20,214352831.76999998
Systems Engineering,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Travel & Hospitality', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'Legal', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Science & Medicine', 'Transportation & Warehousing', 'Java', 'Apache HTTP Server', 'Amazon Web Services', 'Python', 'NGINX', 'Ansible', 'Docker', 'Google Cloud Platform', 'Kubernetes', 'Microsoft Active Directory', 'Microsoft Azure', 'Microsoft Exchange Server', 'Microsoft Windows PowerShell', 'Office 365', 'Terraform', 'Computer Systems Engineering', 'Information Systems Engineering', 'Systems Engineering', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Windows Server']",1368,"([0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 20.0, 25.0, 12.0, 35.0, 10.0, 0.0, 15.0, 15.0, 0.0, 25.0, 30.0, 0.0, 10.0, 15.0, 13.0, 0.0, 25.0, 30.0, 0.0, 0.0, 0.0, 10.0, 10.0, 25.0, 15.0, 30.0, 30.0, 5.0, 15.0, 10.0, 20.0, 0.0, 15.0, 15.0, 15.0, 15.0, 0.0, 10.0, 31.0, 25.0, 60.0, 15.0, 0.0, 15.0, 0.0, 0.0, 15.0, 0.0, 35.0, 40.0, 10.0, 10.0, 9.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 25.0, 5.0, 0.0], [125.0, 200.0])",12744,1.0,23,150651846.32
IT Compliance,"['Federal Information Security Management Act of 2002', 'FedRAMP', 'HIPAA', 'ISO 27001', 'SOC 2 Report', 'SaaS', 'Computer Network', 'Compliance Consultation', 'IT Compliance Audit', 'Risk Assessment']",44,"([5.0, 15.0, 20.0, 0.0], [90.0, 65.0, 70.0, 80.0])",505,1.0,27,6377215.22
Information Security,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Cybersecurity Management', 'Incident Response Plan', 'Information Security', 'Information Security Consultation', 'Penetration Testing', 'Security Assessment & Testing', 'Security Policies & Procedures Documentation', 'Security Testing', 'Vulnerability Assessment', 'Kali Linux', 'Nessus', 'AI Security', 'Application Security', 'Database Security', 'Digital Forensics', 'Encryption', 'Firewall', 'Network Security', 'System Security', 'VPN']",259,"([0.0, 20.0, 5.0], [100.0])",2231,1.0,25,23737442.05
Network Security,"['Encryption', 'Firewall', 'Internet Protocol Security', 'Intrusion Detection System', 'Intrusion Prevention System', 'Network Security', 'System Hardening', 'VPN', 'Web Proxy']",64,"([0.0], [100.0])",577,1.0,17,1844872.9500000002
Network Administration,"['Network Administration', 'Network Design', 'Network Engineering', 'Network Monitoring', 'Network Security', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Network Equipment', 'Virtual LAN', 'Virtualization', 'VoIP', 'VPN', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Cisco Meraki', 'Cisco Prime', 'Cisco WLC', 'Fortinet', 'MikroTik', 'Ubiquiti', 'VMWare', 'Zabbix']",285,"([0.0], [150.0, 250.0])",2407,1.0,24,27757075.17
Systems Administration,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Security Management', 'System Administration', 'System Monitoring', 'Amazon Web Services', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Exchange Server', 'Office 365', 'Salesforce', 'Apache HTTP Server', 'Python', 'NGINX', 'DNS', 'Microsoft Active Directory', 'Microsoft Windows PowerShell', 'Server Virtualization', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'Windows Server']",737,"([0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 20.0, 25.0, 12.0, 35.0, 10.0, 0.0, 15.0, 15.0, 0.0, 25.0, 30.0, 0.0, 10.0, 15.0, 13.0, 0.0, 25.0, 30.0, 0.0, 0.0, 0.0, 10.0, 10.0, 25.0, 15.0, 30.0, 30.0, 5.0, 15.0, 10.0, 20.0, 0.0, 15.0, 15.0, 15.0, 15.0, 0.0, 10.0, 31.0, 25.0, 60.0, 15.0, 0.0, 15.0, 0.0, 0.0, 15.0, 0.0, 35.0, 40.0, 10.0, 10.0, 9.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 25.0, 5.0, 0.0], [125.0, 200.0])",7426,1.0,18,81448803.17999998
Cloud Engineering,"['Cloud Architecture', 'Cloud Engineering', 'Cloud Implementation', 'Cloud Management', 'Cloud Testing', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'SaaS', 'Salesforce CRM', 'Amazon Web Services', 'Azure DevOps', 'DigitalOcean', 'Google Apps Script', 'Google Cloud Platform', 'Heroku', 'Microsoft Azure', 'Microsoft Dynamics 365', 'Office 365', 'Oracle NetSuite', 'SAP', 'Zoho Platform', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Amusement & Gambling', 'Art & Design', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Manufacturing & Construction', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Sales & Marketing', 'Science & Medicine', 'Transportation & Warehousing', 'Java', '.NET Framework', 'Ruby', 'MongoDB', 'Python', 'MySQL', 'Apache Airflow', 'AWS Amplify', 'AWS Glue', 'Computer Network', 'Linux', 'Ruby on Rails', 'Virtualization']",1447,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0, 25.0])",13322,1.0,23,152721254.16
DevOps Engineering,"['Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Git', 'Ansible', 'Apache Airflow', 'AWS Glue', 'Docker', 'Jenkins', 'Kubernetes', 'Terraform', 'Microsoft Windows', 'Linux', 'macOS', 'Ubuntu', 'AIOps', 'Application Release Automation', 'Automated Monitoring', 'CI/CD', 'Deployment Automation', 'DevOps Engineering', 'System Automation', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Automotive', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'HR & Business Services', 'Legal', 'Manufacturing & Construction', 'Military & Defense', 'Nonprofit Organization', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Supply Chain & Logistics', 'Transportation & Warehousing', 'Java', 'MongoDB', 'Amazon Web Services', 'Python', 'Node.js', 'Amazon ECS', 'Containerization', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Windows PowerShell']",1482,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0, 25.0])",13768,1.0,22,152165961.07999998
Solution Architecture,"['Amazon Web Services', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft Dynamics 365', 'Microsoft SharePoint', 'Office 365', 'Oracle NetSuite', 'Salesforce', 'SAP', 'Education', 'Sports & Recreation', 'Fashion & Beauty', 'Finance & Accounting', 'Food & Beverage', 'Media & Entertainment', 'Real Estate', 'Tech & IT', 'Aerospace', 'Amusement & Gambling', 'Aviation', 'Energy & Utilities', 'Engineering & Architecture', 'Health & Wellness', 'Legal', 'Manufacturing & Construction', 'Military & Defense', 'Nonprofit Organization', 'Religious, Charitable & Nonprofit', 'Retail & Consumer Goods', 'Science & Medicine', 'Transportation & Warehousing', 'Implementation', 'Solution Architecture Consultation', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Java', 'JavaScript', 'PHP', 'SQL', 'Web Service', 'Python', 'C#', 'Node.js', 'Apex', 'Cloud Computing', 'Elasticsearch', 'RESTful Architecture']",2119,"([0.0], [90.0, 25.0, 60.0, 15.0, 7.0, 75.0, 0.0, 25.0])",20613,1.0,20,183266869.26999998
Blockchain & NFT Development,"['Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'Node.js', 'Golang', 'Rust', 'Solidity', 'Ethereum', 'Solana', '3D Avatar', 'Blockchain Architecture', 'Blockchain Development', 'Blockchain Security', 'Blockchain Tokenization', 'Crypto Exchange Platform', 'Cryptography', 'Discord Bot Development', 'NFT', 'Smart Contract']",1524,"([0.0], [55.0, 0.0, 120.0, 55.0, 0.0])",15979,1.0,16,95460827.94999999
Crypto Coins & Tokens,"['Bitcoin', 'Ethereum', 'Smart Contract']",13,"([0.0, 0.0, 0.0, 100.0, 75.0, 0.0], [40.0])",144,1.0,13,101238.46
Crypto Wallet Development,"['Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'HTML', 'Golang', 'Lua', 'Rust', 'Solidity', 'Crypto Wallet Development', 'iOS', 'Android', 'Microsoft Windows', 'Linux', 'macOS']",1834,"([0.0], [60.0])",19287,1.0,15,112953291.14999998
AI Chatbot Development,"['Chatbot Training', 'Chatbot Tuning', 'Natural Language Generation', 'Natural Language Processing', 'Java', 'PHP', 'Ruby', 'Python', 'C++', 'PyTorch', 'TensorFlow', 'ChatGPT', 'Dialogflow', 'GPT-4', 'ManyChat', 'Pinecone', 'Rasa', 'Chatbot Development', 'AI Chatbot', 'Chatbot Integration', 'Finance & Banking Chatbot', 'Scheduling & Assisting Chatbot', 'Social Media Chatbot']",754,"([0.0], [85.0, 0.0, 0.0])",8039,1.0,15,59835798.29999999
AI Integration,"['Integration Testing', 'AI Model Integration', 'API Integration', 'API Testing', 'Application Integration', 'Chatbot Integration', 'ChatGPT API Integration', 'Website Integration', 'Node.js', 'RESTful API', 'Amazon Bedrock', 'Azure OpenAI Service', 'ChatGPT API', 'GPT API', 'OpenAI API', 'REST API', 'Whisper API', 'Java', 'JavaScript', 'PHP', 'Ruby', 'Python', 'C#', 'C++', 'XML']",1485,"([0.0, 0.0, 0.0, 18.0, 0.0, 0.0, 0.0, 20.0], [100.0, 70.0, 40.0, 12.0])",15740,1.0,16,96299594.81999998
Desktop Software Development,"['SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'Java', 'Objective-C', 'Swift', 'JavaScript', 'Python', 'C#', 'C++', 'C', 'Delphi', 'Visual Basic for Applications', 'Git', 'Apple Xcode', 'Azure DevOps', 'Docker', 'Electron', 'GitLab', 'Jenkins', 'JetBrains IntelliJ IDEA', 'Kubernetes', 'Prototyping', '.NET Framework', 'Desktop Application Testing', 'Qt Framework', 'Database Design', 'Application Integration', 'Application Security', 'Bug Fix', 'Desktop Application', 'Standalone Application', 'Microsoft Windows', 'Linux', 'macOS']",1272,"([0.0], [100.0, 70.0, 40.0, 12.0])",13399,1.0,16,103837746.33999997
Ecommerce Website Development,"['Wix', 'WordPress', 'ClickFunnels', 'BigCommerce', 'Commerce Cloud', 'Divi', 'Drupal', 'Elementor', 'Magento', 'Shopify', 'Shopify Plus', 'Squarespace', 'Webflow', 'WooCommerce', 'Web Design', 'Landing Page', 'API Integration', 'App Development', 'Bug Fix', 'Custom Ecommerce Platform Development', 'Design Enhancement', 'Ecommerce Backup & Migration', 'Ecommerce Development Consultation', 'Ecommerce Performance Optimization', 'Ecommerce Storefront Design', 'Ecommerce Website', 'Page Speed Optimization', 'Payment Gateway Integration', 'Platform Plugin', 'Responsive Design', 'Shopify Development', 'Shopify Templates', 'Theme Customization', 'Theme Development', 'Website Customization', 'Website Migration', 'Website Optimization', 'WordPress Plugin', 'PayPal', 'Stripe', 'Authorize.Net', 'Recharge', 'Square', 'Java', 'JavaScript', 'Angular', 'AngularJS', 'ASP.NET', 'Bootstrap', 'jQuery', 'PHP', 'React', 'Ruby', 'Vue.js', 'Python', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Node.js', 'Joomla', 'Laravel', 'Liquid', 'Ruby on Rails', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis']",3464,"([0.0], [100.0])",37217,1.0,17,231018750.33999997
Video Game Development,"['Java', 'Objective-C', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS 3', 'HTML5', 'C', 'Dart', 'Lua', 'Game Design Document', 'Game Development Bug Fix', 'Game Prototype', 'Game Testing', 'Mobile Game', 'Performance Optimization', 'Video Game', 'Unreal Engine', 'Godot', 'Roblox Studio', 'Unity', 'Hybrid App Development', 'iOS', 'Android', 'Native App Development', 'Microsoft Windows', 'iPadOS', 'Linux', 'macOS', 'Sports & Recreation', 'Puzzle', 'Simulation Game', 'Online Multiplayer', 'Casual Game', 'In-App Purchases', 'User Authentication', 'User Profile Creation', 'Review or Feedback Collection', 'Social Media Account Integration', 'Bluetooth', 'Augmented Reality', 'Camera', 'Chat & Messaging Software', 'In-App Search', 'Location-Based Service', 'Map Integration', 'In-App Advertising', 'API Integration', 'Application Security', 'Click-to-Call', 'QR & Barcode Scanner', 'Ages 3+', 'Smartphone', 'Tablet', 'Virtual Reality', 'Gaming Console', 'Personal Computer']",1888,"([0.0], [100.0])",19911,1.0,15,111494060.08999997
